runs,wickets,overs,runs_last_5,wickets_last_5,total
1,0,0.1,1,0,222
1,0,0.2,1,0,222
2,0,0.2,2,0,222
2,0,0.3,2,0,222
2,0,0.4,2,0,222
2,0,0.5,2,0,222
3,0,0.6,3,0,222
3,0,1.1,3,0,222
7,0,1.2,7,0,222
11,0,1.3,11,0,222
17,0,1.4,17,0,222
21,0,1.5,21,0,222
21,0,1.6,21,0,222
21,0,2.1,21,0,222
21,0,2.2,21,0,222
22,0,2.3,22,0,222
26,0,2.4,26,0,222
27,0,2.5,27,0,222
27,0,2.6,27,0,222
32,0,3.0,32,0,222
38,0,3.1,38,0,222
39,0,3.2,39,0,222
43,0,3.3,43,0,222
43,0,3.4,43,0,222
44,0,3.5,44,0,222
50,0,3.6,50,0,222
54,0,4.1,54,0,222
55,0,4.2,55,0,222
59,0,4.3,59,0,222
59,0,4.4,59,0,222
60,0,4.5,59,0,222
60,0,4.6,59,0,222
61,0,5.1,59,0,222
61,1,5.2,59,1,222
61,1,5.3,59,1,222
61,1,5.4,59,1,222
61,1,5.5,58,1,222
61,1,5.6,58,1,222
62,1,6.1,55,1,222
63,1,6.2,52,1,222
64,1,6.3,47,1,222
66,1,6.4,45,1,222
67,1,6.5,46,1,222
68,1,6.6,47,1,222
68,1,7.1,47,1,222
69,1,7.2,47,1,222
70,1,7.3,44,1,222
71,1,7.4,44,1,222
72,1,7.5,45,1,222
73,1,7.6,41,1,222
73,1,8.1,35,1,222
73,1,8.2,34,1,222
73,1,8.3,30,1,222
74,1,8.4,31,1,222
75,1,8.5,31,1,222
77,1,8.6,27,1,222
78,1,9.1,24,1,222
79,1,9.2,24,1,222
80,1,9.3,21,1,222
80,1,9.4,21,1,222
86,1,9.5,26,1,222
87,1,9.6,27,1,222
88,1,10.1,27,1,222
92,1,10.2,31,0,222
92,1,10.3,31,0,222
98,1,10.4,37,0,222
98,1,10.5,37,0,222
102,1,10.6,41,0,222
102,1,11.1,40,0,222
108,1,11.2,45,0,222
110,1,11.3,46,0,222
111,1,11.4,45,0,222
111,1,11.5,44,0,222
112,1,11.6,44,0,222
112,2,12.1,44,1,222
116,2,12.2,47,1,222
116,2,12.3,46,1,222
118,2,12.4,47,1,222
119,2,12.4,47,1,222
123,2,12.5,50,1,222
124,2,12.6,51,1,222
125,2,13.1,52,1,222
125,2,13.2,52,1,222
126,2,13.3,52,1,222
127,2,13.4,52,1,222
128,2,13.5,51,1,222
130,2,13.6,52,1,222
